Compute Saved (%),commonsense_qa,hellaswag,mmlu_stem,openbookqa,piqa,squadv2,winogrande
0.02%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
6.53%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
11.96%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
17.34%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
22.79%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
28.40%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
33.79%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
39.04%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
44.31%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
54.87%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
65.18%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
75.31%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
85.13%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
94.50%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
97.91%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
