Compute Saved (%),csqa_gen,gsm8k,piqa_gen
0.04%,42.75±2.48,19.75±1.99,32.00±2.34
6.33%,42.75±2.48,19.75±1.99,32.00±2.34
11.77%,42.75±2.48,19.75±1.99,32.00±2.34
17.16%,42.75±2.48,19.75±1.99,32.00±2.34
22.71%,42.75±2.48,19.75±1.99,32.00±2.34
28.28%,42.75±2.48,19.75±1.99,32.00±2.34
33.71%,42.75±2.48,19.75±1.99,32.00±2.34
39.00%,42.75±2.48,19.75±1.99,32.00±2.34
44.26%,42.75±2.48,19.75±1.99,32.00±2.34
54.90%,42.75±2.48,19.75±1.99,32.00±2.34
65.29%,42.75±2.48,19.75±1.99,32.00±2.34
75.42%,42.75±2.48,19.75±1.99,32.00±2.34
85.48%,42.75±2.48,19.75±1.99,32.00±2.34
94.95%,42.75±2.48,19.75±1.99,32.00±2.34
98.41%,42.75±2.48,19.75±1.99,32.00±2.34
