Compute Saved (%),commonsense_qa,hellaswag,mmlu_stem,openbookqa,piqa,squadv2,winogrande
5.92%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
10.58%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
15.24%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
19.90%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
24.57%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
30.14%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
35.15%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
39.81%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
49.13%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
59.37%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.24%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.24%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.24%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.24%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
