Compute Saved (%),commonsense_qa,hellaswag,mmlu_stem,openbookqa,piqa,squadv2,winogrande
6.06%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
10.82%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
15.58%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
20.34%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
25.10%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
30.38%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
35.14%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
39.91%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
49.43%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
59.47%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.20%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.20%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.20%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
61.20%,19.00±1.96,42.00±2.47,21.28±0.73,21.00±2.04,70.00±2.29,nan±nan,58.50±2.47
