Compute Saved (%),commonsense_qa,hellaswag,mmlu_stem,openbookqa,piqa,squadv2,winogrande
50.32%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
53.88%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
55.11%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
55.53%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
55.90%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
56.00%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
56.06%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
56.23%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
56.61%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
58.11%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
61.00%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
64.38%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
67.11%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
75.64%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
88.12%,50.50±2.50,44.75±2.49,34.44±0.83,27.00±2.22,74.00±2.20,nan±nan,60.00±2.45
