Compute Saved (%),csqa_gen,gsm8k,piqa_gen
0.76%,42.75±2.48,19.75±1.99,32.00±2.34
14.59%,42.75±2.48,19.75±1.99,32.00±2.34
24.57%,42.75±2.48,19.75±1.99,32.00±2.34
32.16%,42.75±2.48,19.75±1.99,32.00±2.34
38.93%,42.75±2.48,19.75±1.99,32.00±2.34
44.92%,42.75±2.48,19.75±1.99,32.00±2.34
49.81%,42.75±2.48,19.75±1.99,32.00±2.34
54.40%,42.75±2.48,19.75±1.99,32.00±2.34
58.73%,42.75±2.48,19.75±1.99,32.00±2.34
68.07%,42.75±2.48,19.75±1.99,32.00±2.34
74.55%,42.75±2.48,19.75±1.99,32.00±2.34
83.12%,42.75±2.48,19.75±1.99,32.00±2.34
90.15%,42.75±2.48,19.75±1.99,32.00±2.34
96.76%,42.75±2.48,19.75±1.99,32.00±2.34
99.54%,42.75±2.48,19.75±1.99,32.00±2.34
