Compute Saved (%),commonsense_qa,hellaswag,mmlu_stem,openbookqa,piqa,squadv2,winogrande
0.00%,17.75±1.91,25.50±2.18,23.28±0.75,12.50±1.66,59.00±2.46,nan±nan,49.25±2.50
11.91%,18.75±1.95,26.50±2.21,21.38±0.73,14.25±1.75,49.50±2.50,nan±nan,50.25±2.50
28.64%,18.75±1.95,26.25±2.20,21.34±0.73,11.25±1.58,52.50±2.50,nan±nan,51.25±2.50
41.34%,18.75±1.95,28.00±2.25,21.22±0.73,13.25±1.70,46.25±2.50,nan±nan,51.75±2.50
57.42%,18.75±1.95,28.50±2.26,21.44±0.73,13.00±1.68,47.25±2.50,nan±nan,53.00±2.50
73.19%,18.75±1.95,27.75±2.24,21.47±0.73,13.25±1.70,50.75±2.50,nan±nan,50.50±2.50
74.44%,19.00±1.96,27.75±2.24,21.09±0.73,14.50±1.76,49.25±2.50,nan±nan,50.25±2.50
90.57%,19.00±1.96,29.75±2.29,21.54±0.73,14.50±1.76,51.75±2.50,nan±nan,47.75±2.50
91.33%,19.00±1.96,27.00±2.22,21.28±0.73,14.25±1.75,51.00±2.50,nan±nan,50.00±2.50
91.48%,18.00±1.92,26.50±2.21,22.01±0.74,14.00±1.74,50.50±2.50,nan±nan,48.00±2.50
91.57%,18.75±1.95,27.25±2.23,21.28±0.73,13.50±1.71,52.50±2.50,nan±nan,49.75±2.50
95.21%,20.00±2.00,27.00±2.22,21.88±0.74,15.25±1.80,49.75±2.50,nan±nan,48.75±2.50
95.28%,18.75±1.95,25.50±2.18,21.69±0.73,16.25±1.85,49.00±2.50,nan±nan,45.50±2.49
96.76%,18.25±1.93,26.50±2.21,22.07±0.74,11.75±1.61,52.25±2.50,nan±nan,50.50±2.50
99.70%,19.25±1.97,25.75±2.19,22.33±0.74,11.75±1.61,50.50±2.50,nan±nan,50.50±2.50
