Compute Saved (%),csqa_gen,gsm8k,piqa_gen
0.00%,1.75±0.66,0.00±0.00,4.75±1.06
15.09%,0.00±0.00,0.00±0.00,0.00±0.00
19.24%,0.00±0.00,0.00±0.00,0.00±0.00
49.31%,0.00±0.00,0.00±0.00,0.00±0.00
83.64%,0.00±0.00,0.00±0.00,0.00±0.00
84.15%,0.00±0.00,0.00±0.00,0.00±0.00
85.57%,0.00±0.00,0.00±0.00,0.00±0.00
92.28%,0.00±0.00,0.00±0.00,0.00±0.00
92.52%,0.00±0.00,0.00±0.00,0.00±0.00
94.47%,0.00±0.00,0.00±0.00,0.00±0.00
96.39%,0.00±0.00,0.00±0.00,0.00±0.00
98.26%,0.00±0.00,0.00±0.00,0.00±0.00
99.14%,0.00±0.00,0.00±0.00,0.00±0.00
99.16%,0.00±0.00,0.00±0.00,0.00±0.00
99.86%,0.00±0.00,0.00±0.00,0.00±0.00
